Index,Name,RF,XGB,ETC,LGB,LCN[XGB]+,LCPN[ETC]+F[XGB],LCPN[RF]+F[XGB],LCPN[XGB]+F[RF]
34,helena,0.2037±0.0044,0.2124±0.0047,0.2053±0.0051,0.0197±0.0083,0.1903±0.0052,0.2169±0.0033,0.2152±0.0039,0.2102±0.0032
35,hepatitis-c,0.5256±0.0714,0.5570±0.0762,0.5596±0.0546,0.5880±0.0833,0.6150±0.0925,0.5922±0.0498,0.5922±0.0498,0.5773±0.0623
36,hypothyroid,0.3608±0.0188,0.3575±0.0236,0.3622±0.0201,0.3544±0.0225,0.3513±0.0207,0.3599±0.0197,0.3626±0.0230,0.3595±0.0179
37,internet-firewall,0.8427±0.0375,0.8234±0.0531,0.8291±0.0413,0.8115±0.0950,0.8310±0.0492,0.8234±0.0531,0.8234±0.0531,0.8431±0.0376
38,ipums-la-98-small,0.4097±0.0138,0.4079±0.0171,0.4157±0.0185,0.4071±0.0194,0.4057±0.0207,0.4108±0.0160,0.4105±0.0196,0.4105±0.0142
39,ipums-la-99-small,0.4437±0.0088,0.4454±0.0145,0.4264±0.0146,0.4435±0.0145,0.4358±0.0126,0.4405±0.0164,0.4439±0.0148,0.4401±0.0135
40,khan-2001,0.9881±0.0357,0.9699±0.0331,0.9945±0.0165,0.9782±0.0348,0.9740±0.0263,0.9845±0.0239,0.9845±0.0239,0.9875±0.0376
41,kropt,0.8306±0.0083,0.8622±0.0115,0.8003±0.0122,0.5748±0.0984,0.8466±0.0101,0.8632±0.0062,0.8636±0.0091,0.8458±0.0118
42,led24,0.7198±0.0114,0.6880±0.0185,0.7182±0.0130,0.6972±0.0196,0.6946±0.0184,0.6968±0.0155,0.6969±0.0149,0.7105±0.0122
43,led-7digit,0.6838±0.0302,0.6875±0.0398,0.6842±0.0377,0.6917±0.0420,0.6995±0.0331,0.6866±0.0457,0.6858±0.0352,0.7006±0.0449
44,leukemia,0.7361±0.1254,0.8904±0.1465,0.8661±0.0404,0.9422±0.0632,0.8894±0.1482,0.9156±0.1121,0.9395±0.0634,0.8799±0.1330
45,lung,0.7055±0.0890,0.7351±0.1063,0.7230±0.0884,0.8637±0.1030,0.8545±0.0653,0.7760±0.1018,0.7532±0.1029,0.7181±0.0490
46,lymphoma-burkitt,0.7961±0.0830,0.8254±0.0677,0.7631±0.0627,0.7967±0.0499,0.7636±0.0822,0.8255±0.0705,0.8255±0.0705,0.7995±0.0957
47,mabbob-ela-as-2d,0.3216±0.0474,0.3783±0.0332,0.3099±0.0553,0.3652±0.0377,0.3770±0.0306,0.3717±0.0275,0.3841±0.0305,0.3291±0.0511
48,mental-health-detection,0.4143±0.0427,0.4162±0.0467,0.4135±0.0449,0.4136±0.0520,0.4261±0.0453,0.4255±0.0456,0.4269±0.0434,0.4281±0.0458
49,meta-all,0.4832±0.1442,0.4996±0.1652,0.4828±0.1230,0.3979±0.1432,0.4590±0.1504,0.5044±0.1712,0.5044±0.1712,0.4859±0.1372
50,meta-batchincremental,0.4146±0.1038,0.4267±0.0925,0.3972±0.0885,0.4364±0.0920,0.4099±0.1321,0.4203±0.1083,0.4057±0.1145,0.3694±0.1160
51,meta-instanceincremental,0.7530±0.2114,0.7503±0.2203,0.7989±0.2383,0.7919±0.1432,0.7227±0.2235,0.7556±0.2188,0.7430±0.2078,0.6866±0.2031
52,mfeat-fourier,0.8175±0.0191,0.8244±0.0229,0.8281±0.0158,0.8320±0.0238,0.8301±0.0164,0.8274±0.0196,0.8258±0.0214,0.8107±0.0194
53,mfeat-zernike,0.7705±0.0132,0.7815±0.0098,0.7854±0.0123,0.7851±0.0071,0.7804±0.0102,0.7859±0.0123,0.7827±0.0106,0.7624±0.0190
54,mobile-price,0.8783±0.0176,0.9135±0.0176,0.8675±0.0235,0.9153±0.0184,0.9188±0.0153,0.9127±0.0162,0.9129±0.0156,0.8976±0.0278
55,okcupid-stem,0.5083±0.0094,0.5353±0.0048,0.4972±0.0040,0.5236±0.0043,0.5398±0.0049,0.5457±0.0046,0.5473±0.0043,0.5282±0.0080
56,olindda-outliers,0.8176±0.1141,0.7654±0.1223,0.7711±0.0943,0.7653±0.1178,0.6950±0.1318,0.7762±0.1073,0.7705±0.1095,0.7674±0.0873
57,ovarian-tumour,0.4959±0.0563,0.5570±0.0762,0.5596±0.0546,0.5880±0.0833,0.6150±0.0925,0.5922±0.0498,0.5922±0.0498,0.5909±0.0429
58,page-blocks,0.8501±0.0292,0.8478±0.0177,0.8407±0.0313,0.8355±0.0386,0.8505±0.0220,0.8517±0.0170,0.8488±0.0170,0.8470±0.0243
59,pasture,0.7743±0.1629,0.7680±0.1571,0.7597±0.1476,0.1333±0.0000,0.7437±0.1556,0.7747±0.1409,0.7894±0.1441,0.7810±0.1471
60,prnn-cushings,0.6637±0.2039,0.6102±0.2736,0.5935±0.2601,0.2500±0.0000,0.7055±0.2219,0.6519±0.2689,0.6519±0.2689,0.6943±0.1571
61,re1-wc,0.6428±0.0276,0.7936±0.0322,0.6763±0.0271,0.7206±0.0353,0.7692±0.0346,0.8012±0.0334,0.7962±0.0350,0.7240±0.0352
62,rmftsa-sleepdata,0.4082±0.0355,0.4038±0.0232,0.4082±0.0299,0.4033±0.0219,0.3966±0.0277,0.3968±0.0259,0.4008±0.0267,0.3951±0.0346
63,robot-failures-lp1,0.8252±0.0686,0.7260±0.0831,0.8581±0.0817,0.7593±0.0927,0.7404±0.1184,0.7488±0.0855,0.7439±0.0854,0.8478±0.0580
64,robot-failures-lp2,0.4347±0.1626,0.5732±0.2123,0.4764±0.1562,0.1143±0.0000,0.6282±0.1726,0.6049±0.1697,0.5934±0.1739,0.5849±0.1405
65,rsctc2010-1,0.3545±0.0558,0.6528±0.0728,0.3277±0.0797,0.6175±0.1618,0.6697±0.0859,0.6528±0.0728,0.6528±0.0728,0.5937±0.1710
